budget,genres,homepage,popularity,production_companies,production_countries,runtime,spoken_languages,vote_average,vote_count,lang_english,year,holiday,revenue
30000000,3,1,21.946943,1,1,81,1,7.7,5415,1,1995,1,373554033
65000000,3,0,17.015539,3,1,104,2,6.9,2413,1,1995,1,262797249
16000000,3,0,3.859495,1,1,127,1,6.1,34,1,1995,1,81452156
60000000,4,0,17.924927,3,1,170,2,7.7,1886,1,1995,1,187436818
35000000,3,0,5.23158,3,1,106,1,5.5,174,1,1995,1,64350171
58000000,3,1,14.686036,2,2,130,3,6.6,1194,1,1995,1,352194034
62000000,3,0,6.318445,2,1,106,1,6.5,199,1,1995,1,107879496
44000000,2,0,5.092,2,1,192,1,7.1,72,1,1995,1,13681765
98000000,2,0,7.284477,4,4,119,2,5.7,137,1,1995,1,10017322
52000000,2,0,10.137389,4,2,178,1,7.8,1343,1,1995,1,116112375
16500000,2,0,10.673167,2,2,136,1,7.2,364,1,1995,1,135000000
4000000,2,0,9.026586,2,1,98,1,6.5,539,1,1995,1,4300000
30000000,3,0,8.205448,3,1,90,1,6.1,1128,1,1995,1,212385533
60000000,3,0,7.337906,1,1,103,1,5.4,224,1,1995,1,35431113
30250000,3,0,12.669608,2,1,105,1,6.4,305,1,1995,1,115101622
50000000,4,0,11.065939,6,2,132,3,6,394,1,1995,1,30303072
3600000,2,1,10.332025,2,1,112,1,7.1,365,1,1995,1,49800000
12000000,3,0,8.681325,1,1,100,1,6.6,91,1,1995,1,27400000
18000000,3,0,9.822423,21,3,108,2,7.6,308,0,1995,1,1738611
29500000,3,0,12.297305,3,1,129,2,7.4,2470,1,1995,1,168840000
30000000,4,0,14.404764,2,2,89,1,6,756,1,1995,0,254134910
11000000,1,0,6.891317,3,2,122,1,7.3,350,1,1995,1,39363635
18000000,2,0,10.870138,2,1,101,1,5.4,452,1,1995,0,122195920
20000000,4,0,10.448481,2,1,106,1,6.7,177,1,1995,1,21284514
10000000,2,0,4.485958,2,1,116,1,6.5,38,1,1995,1,23574130
33000000,3,1,18.45743,3,1,127,1,8.1,5915,1,1995,0,327311859
55000000,4,0,13.280069,2,1,81,1,6.7,1509,1,1995,1,346079773
6000000,3,1,16.302466,2,1,106,4,8.1,3334,1,1995,0,23341568
15000000,2,0,15.899134,2,1,95,1,6.7,145,1,1995,0,6700000
3500000,1,1,14.56965,1,1,91,1,7,513,1,1995,1,28215918
19000000,4,1,15.339153,4,1,108,2,6.9,1644,1,1996,0,25836616
50000000,3,0,5.912223,2,1,91,2,4.1,54,1,1995,1,11534477
15000000,2,0,2.936443,2,1,90,1,3.9,16,1,1996,0,2042530
20000000,2,0,12.758848,6,3,108,1,6.1,154,1,1995,0,5781885
8000000,2,0,4.486179,1,1,116,1,6.7,87,1,1995,1,529766
38000000,2,0,9.568604,3,1,129,4,6.3,86,1,1996,0,10300000
8169363,3,0,6.848591,1,1,90,1,6.1,190,1,1995,1,8175346
47000000,4,0,12.866139,2,1,104,1,5.7,77,1,1996,0,12379402
14000000,3,0,9.071127,1,1,100,1,4.5,113,1,1995,1,19800000
50000000,4,0,14.957626,3,1,108,1,5.7,459,1,1996,0,150270147
7000000,3,0,6.904831,2,1,91,2,6.8,285,1,1996,0,560069
12000000,1,0,9.592265,3,1,92,1,6.5,767,1,1996,0,41205099
24000000,2,0,5.951077,3,1,135,1,7.3,397,1,1995,1,182016617
72000000,4,0,20.755149,3,1,177,4,7.7,3404,1,1995,1,210000000
1300000,2,0,14.092713,3,1,114,2,8.1,2632,1,1976,0,28262574
7500000,4,0,12.314278,2,1,91,2,6.5,245,0,1995,0,32392047
25000000,2,0,1.522412,1,1,113,1,5.1,7,1,1995,0,6278139
40000000,2,0,6.506983,1,1,117,2,5.4,139,1,1992,1,70100000
7000000,2,0,5.579088,1,1,92,1,6.3,66,1,1996,0,14702438
50000000,4,0,11.418917,1,1,95,1,5.1,45,1,1995,1,9851610
31000000,1,0,6.49968,1,1,117,2,6.7,303,1,1996,0,185260553
19000000,4,0,9.262184,2,1,118,1,6.5,1729,1,1995,1,141407024
4000000,3,0,0.922958,4,1,113,1,6,11,1,1995,0,851545
52000000,1,0,18.761467,2,1,140,1,7.3,1637,1,1995,1,355237933
28000000,1,0,10.193549,2,2,139,1,6.5,151,1,1995,1,31596911
100000000,3,0,13.321354,2,2,121,1,5.2,1529,1,1995,1,336529144
2000000,1,1,11.528147,2,1,83,1,6.8,28,1,1995,0,1275000
11000000,2,0,5.391556,1,2,91,1,5.9,57,1,1995,1,178104
50000000,3,0,12.812539,3,1,100,1,6,1045,1,1995,1,287928194
25000000,3,0,4.558992,2,1,128,1,6.8,69,1,1995,0,13071518
50000000,6,0,7.260574,2,1,109,2,5,214,1,1995,1,152022101
53000000,3,0,8.657365,2,1,116,1,7,508,1,1995,1,157387195
7000000,3,0,6.950458,2,1,104,1,6.8,898,1,1995,0,25405445
27000000,3,0,4.646132,2,1,102,1,6.3,88,1,1995,0,16140822
90000000,2,0,15.138855,2,1,128,3,6.9,2094,1,1995,1,366101666
55000000,4,0,15.178338,2,1,134,2,5.9,319,1,1995,0,127600435
20000000,4,0,14.810519,2,1,107,4,6.2,406,1,1995,0,7563728
25000000,5,0,11.715868,2,2,97,2,5.5,380,1,1995,1,19075720
90000000,1,0,8.184815,2,1,96,1,5.4,643,1,1995,1,113493481
1500000,2,0,4.877872,1,1,91,1,6.8,280,1,1995,0,7412216
500000,2,0,10.058329,2,1,89,1,7.2,64,1,1995,0,1148752
6000000,2,0,8.25547,4,1,94,1,6.8,400,1,1995,1,2122561
15000000,5,1,7.024227,3,2,92,1,5.2,153,1,1995,1,66000000
2,2,0,2.466066,3,4,95,2,6.4,36,1,1995,0,1
22000000,5,0,13.304342,1,1,114,2,5.6,359,1,1995,0,110627965
150000,1,0,1.165039,1,1,94,1,5.8,14,1,1995,1,472370
8,3,0,10.187623,1,1,98,1,6.4,139,1,1995,0,16
50000000,3,0,6.752119,2,1,135,1,5.5,111,1,1995,1,10382407
45000000,1,0,17.502375,3,2,128,1,4.9,261,1,1995,0,20350754
7000000,2,0,5.552946,1,3,112,1,7.2,115,1,1995,1,8349430
35000000,3,0,13.492845,1,1,108,1,5.5,457,1,1995,0,113374103
42000000,4,1,11.223055,1,1,145,1,6.8,334,1,1995,1,7959291
14000000,1,0,1.820419,3,1,99,1,4.6,9,1,1995,0,5780000
60000000,2,0,7.490247,5,1,100,1,5.6,217,1,1995,0,104324083
20000000,2,0,9.715639,2,1,103,1,6.5,168,1,1995,0,50012507
175000000,2,0,16.885184,4,1,135,3,5.9,1017,1,1995,0,264218220
2800000,1,0,2.486073,3,2,135,1,6.7,35,0,1994,1,2616503
2500000,2,0,11.304979,2,3,105,3,7.7,984,1,1995,0,5535405
10000000,1,0,6.638116,1,1,89,3,6.2,464,1,1995,0,26488734
21000000,2,0,3.030309,5,2,115,1,6.3,48,1,1995,0,23450000
27000,1,1,10.513367,2,1,92,1,7.4,769,1,1994,0,3151130
25000000,3,0,7.438934,2,1,97,1,6.3,184,1,1994,1,22200000
55000000,5,0,11.812244,2,1,123,1,5.9,217,1,1994,1,214015089
